,yrs,p17,p83,best
0,1971.0,0.0,0.0,0.0
1,1972.0,-2.9474649755461075,9.555080330004438,3.05834149345238
2,1973.0,-3.5613480341632204,21.754133421980473,8.664973793367505
3,1974.0,-5.6003980981923975,32.440120057720335,12.782836160139752
4,1975.0,-10.615534677023586,39.937170994927484,13.827009990593478
5,1976.0,-12.207636280900683,51.454539515102056,18.56176282933355
6,1977.0,-11.157474826626652,65.78357111714249,26.02013281518232
7,1978.0,-8.221165330218877,82.13870444981251,35.437336640507
8,1979.0,-4.440386905573535,99.5525489632077,45.790015464108876
9,1980.0,-0.39684148162891963,117.20192590958483,56.36779730995016
10,1981.0,4.644601362604445,135.50701821845837,67.81092221488528
11,1982.0,3.4808406917793375,147.72363379249654,73.06572133904761
12,1983.0,-2.82533232291725,154.3817274307927,72.9688218374093
13,1984.0,-2.058183469943147,168.17865892554173,79.94060787780025
14,1985.0,3.200729541418824,186.54423866367495,91.50829433521491
15,1986.0,9.336625800323345,205.92815046025493,103.93847363923702
16,1987.0,16.853153768101595,226.98017660707217,117.96590270150355
17,1988.0,27.032749628541573,250.85368308427758,134.7232828069464
18,1989.0,39.94509734744419,277.4000773506871,154.1742943353631
19,1990.0,52.96339525970095,304.1997919509665,173.74948993642727
20,1991.0,53.213840794354,318.9051771510192,180.94822295827507
21,1992.0,37.06920052824228,316.49178745856943,171.36062472715497
22,1993.0,36.56931835043661,329.5160839314749,177.24180947432433
23,1994.0,46.58486432406237,353.0602624119664,193.69670587435232
24,1995.0,61.502655063138555,381.0848001469528,214.83647268963983
25,1996.0,78.7433127002875,410.9888255776595,238.0231167443393
26,1997.0,93.78487015392227,439.8595952565787,259.7369521764111
27,1998.0,111.17463501421096,470.92746153220696,283.6491971623063
28,1999.0,133.16158265170594,505.2906037732884,311.47777923443385
29,2000.0,156.93893915195332,540.9598640035127,340.8517794508258
30,2001.0,181.02882360631054,577.0235626580843,370.49025567360144
31,2002.0,204.0180401275486,612.7300178081235,399.488603180373
32,2003.0,225.49777798123853,647.4015524489655,427.3314848132317
33,2004.0,247.36783148212203,682.7333103367107,455.54686965707566
34,2005.0,268.1794950957298,717.4747165748247,482.89474123165985
35,2006.0,288.48341268198595,751.9075939889209,509.95710408504397
36,2007.0,309.84767678067755,787.1580742146432,537.9239693003939
37,2008.0,333.18460164553363,824.1911096385307,567.7178337760656
38,2009.0,358.2380193678785,862.2047220729726,598.766501402017
39,2010.0,384.84573966632064,901.8722279786693,631.4811087777666
40,2011.0,412.2752731506772,942.3274096360598,665.1211428631206
41,2012.0,440.5426501091663,984.1610053146023,699.8071642458361
42,2013.0,471.8254091426237,1028.1672676869198,737.2632920658906
43,2014.0,503.88928590111954,1072.8291954885024,775.1884081821962
44,2015.0,537.1916606664448,1117.9443062396313,814.0185061394087
45,2016.0,571.4816423119186,1163.9901187575322,853.8841534902828
46,2017.0,607.3359112791463,1211.1824989780457,894.9509936432644
47,2018.0,643.5550065943091,1258.919171962253,936.5365150015416
