,Energy change relative to pre-industrial,ERF uncertainty + Central Response,Response uncertainty + Central ERF,Total uncertainty (correlated),Total uncertainty (uncorrelated)
0,283.6015841,339.7147551,339.7147551,339.7147551,339.7147551
1,96.34019722,46.73324665,146.7055539,234.5010391,-9.0887789
2,470.8629709,662.097412,527.4915143,469.082557,713.3890041
