ocean_0-700m,ocean_0-700m_error,ocean_700-2000m,ocean_700-2000m_error,ocean_>2000m,ocean_>2000m_error,ocean_full-depth_error,yrs,ocean_full-depth,antarctica,antarctica_error,greenland,greenland_error,glaciers,glaciers_error,seaice,seaice_error,iceshelf,iceshelf_error,cryosphere,cryosphere_error,atmosphere,atmosphere_error,land,land_error,Total,Total_error,units,error_units,pi_total
57.60531602,40.52040885,16.68459667,12.29899211,0,0,52.81940097,1986.5,74.28991268,-0.047338822,0.543528224,0.037033419,0.167077876,0.496530245,0.392299717,0.472949453,0.5513004,0.472949453,0.5513004,1.263114295,0.884437463,1.798401639,0.275664151,4.97348547,0.898799121,82.32491409,52.83516991,ZJ,ZJ (1-sigma),48.283128
76.87879455,39.49115853,17.84279667,11.36934207,0,0,50.86050061,1987.5,94.72159122,-0.024336576,0.576527746,0.032970476,0.17619504,0.52142744,0.416465715,0.380072537,0.5513004,0.380072537,0.5513004,1.260833877,0.917723617,3.769722819,0.275664151,5.354301929,0.951829016,105.1064498,50.87843067,ZJ,ZJ (1-sigma),51.5020032
88.41935371,39.07994879,17.87403,11.30974319,0,0,50.38969198,1988.5,106.2933837,-0.001970266,0.610432969,0.030438756,0.185393632,0.54267318,0.440600941,0.583671048,0.5513004,0.583671048,0.5513004,1.552272718,0.952299329,3.850827098,0.275664151,5.770528793,1.000459731,117.4670123,50.40937256,ZJ,ZJ (1-sigma),54.7208784
97.63987511,36.52037119,20.06316667,10.3865805,0,0,46.90695169,1989.5,117.7030418,0.024340751,0.643726811,0.070176907,0.194720458,0.580462107,0.464641919,0.693994062,0.5513004,0.693994062,0.5513004,1.813193827,0.987111844,2.227074474,0.275664151,6.21215868,1.046824396,127.9554688,46.92982355,ZJ,ZJ (1-sigma),57.9397536
100.4174994,32.18313993,21.1071,10.8929464,0,0,43.07608633,1990.5,121.5245994,0.043376413,0.675089554,0.112049485,0.203922394,0.642378192,0.488548578,0.909390568,0.5513004,0.909390568,0.5513004,2.198842658,1.021286714,3.873925805,0.275664151,6.670398235,1.093120039,134.2677661,43.10293659,ZJ,ZJ (1-sigma),61.1586288
92.8909572,26.62311107,26.3431,10.19176228,0,0,36.81487334,1991.5,119.2340572,0.056552546,0.706130535,0.128614883,0.213115659,0.703092712,0.512629716,0.856279446,0.5513004,0.856279446,0.5513004,2.284283587,1.056126023,4.008867145,0.275664151,7.150303364,1.136035264,132.6775113,36.84856671,ZJ,ZJ (1-sigma),64.377504
93.4011935,21.54172205,33.90753333,9.723406544,1.15,0.346504559,31.61163315,1992.5,128.4587268,0.039050278,0.738101812,0.124814297,0.222445299,0.739427403,0.537037485,0.755126311,0.5513004,0.755126311,0.5513004,2.246258289,1.092505349,2.488442004,0.275664151,7.638242245,1.165878356,140.8316694,31.65318596,ZJ,ZJ (1-sigma),67.5963792
90.1382514,19.75161198,40.51463333,8.864878124,2.3,0.693009119,29.30949922,1993.5,132.9528847,0.062391066,0.744791663,0.130642597,0.231177629,0.790812969,0.561460161,1.049803508,0.5513004,1.049803508,0.5513004,2.66958614,1.112355199,1.851310611,0.275664151,8.146426678,1.195639908,145.6202082,29.35625358,ZJ,ZJ (1-sigma),70.8152544
90.50029917,18.16538667,37.5866,8.280751354,3.45,1.039513678,27.4856517,1994.5,131.5368992,0.090943524,0.747678944,0.154737891,0.234906733,0.856196308,0.585726081,0.947676157,0.5513004,0.947676157,0.5513004,2.733585881,1.129168373,2.407953054,0.275664151,8.607337475,1.22491461,145.2857756,27.53747405,ZJ,ZJ (1-sigma),74.0341296
97.64103374,19.52936476,36.571,8.284898452,4.6,1.386018237,29.20028145,1995.5,138.8120337,0.120933918,0.750028335,0.178322066,0.239333332,0.924884744,0.609923797,1.558297152,0.5513004,1.558297152,0.5513004,3.51456588,1.14634991,2.866488576,0.275664151,9.08494997,1.254226744,154.2780382,29.25097657,ZJ,ZJ (1-sigma),77.2530048
